Song Title,Song Artist,Beat,BPM,Source,Genre
I Can See Clearly Now,Johnny Nash,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,110,Default Library,Rock
I Don't Want to Be,Gavin Degraw,Beat Buddy: Rock 1Beat Buddy Mini: Rock 1Beat Buddy Mini 2: Rock 1,77,Default Library,Rock
I Don't Want to Spoil the Party,Beatles,Beat Buddy: PolkaBeat Buddy Mini: PolkaBeat Buddy Mini 2: Polka,95,Default Library,Rock
I Hate Everything About You,Three Days Grace,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,95,Default Library,Rock
I Melt With You,Modern English,Beat Buddy: Rock 1Beat Buddy Mini: Rock 1Beat Buddy Mini 2: Rock 1,155,Default Library,Rock
I Want You to Want Me,Cheap Trick,Beat Buddy: Punk 1Beat Buddy Mini: Punk 1Beat Buddy Mini 2: Punk 1,164,Default Library,Rock
I've Just Seen a Face,Beatles,Beat Buddy: PolkaBeat Buddy Mini: PolkaBeat Buddy Mini 2: Polka,239,Default Library,Rock
"If I Had $1,000,000",Barenaked Ladies,Beat Buddy: Country 2- Train ShuffleBeat Buddy Mini: Country 2Beat Buddy Mini 2: Country 2- Train Shuffle,166,Default Library,Rock
In the End,Linkin Park,Beat Buddy: Rock 4Beat Buddy Mini 2: Rock 4,101,Default Library,Rock
Into The Mystic,Van Morrison,Beat Buddy: Country 6- Str 8Beat Buddy Mini 2: Country 6- Str 8,85,Default Library,Rock
It's a Shame About Ray,Lemonheads,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,130,Default Library,Rock
Killing Moon,Echo and the Bunnymen,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,125,Default Library,Rock
La Bamba,Richie Valens,Beat Buddy: Country 2- Train ShuffleBeat Buddy Mini: Country 2Beat Buddy Mini 2: Country 2- Train Shuffle,155,Default Library,Rock
Laid,James,Beat Buddy: Brushes 1- Str 8Beat Buddy Mini: Brushes 1Beat Buddy Mini 2: Brushes 1- Str 8,110,Default Library,Rock
Learning to Fly,Tom Petty,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,117,Default Library,Rock
Lonely Boy,The Black Keys,Beat Buddy: Country 6- Str 8Beat Buddy Mini 2: Country 6- Str 8,160,Default Library,Rock
Long as I Can See the Light,Creedence Clearwater Revival,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,65,Default Library,Rock
Long May You Run,Neil Young,Beat Buddy: PolkaBeat Buddy Mini: PolkaBeat Buddy Mini 2: Polka,73,Default Library,Rock
Lost Together,Blue Rodeo,Beat Buddy: Blues 2Beat Buddy Mini 2: Blues 2,76,Default Library,Rock
Lovers In A Dangerous Time,Bruce Cockburn,Beat Buddy: Blues 2Beat Buddy Mini 2: Blues 2,128,Default Library,Rock
Me And Bobby McGee,Janis Joplin,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,95,Default Library,Rock
Melissa,Allmann Brothers,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,82,Default Library,Rock
Moves Like Jagger,Maroon 5,Beat Buddy: Pop 11- 16thsBeat Buddy Mini: Pop 5Beat Buddy Mini 2: Pop 11- 16ths,125,Default Library,Rock
Need You Now,Lady Antebellum,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,108,Default Library,Rock
No Rest for the Wicked,Cage the Elephant,Beat Buddy: Funk 1- str 16thsBeat Buddy Mini: Funk 1Beat Buddy Mini 2: Funk 1- str 16ths,83,Default Library,Rock
Off The Hook,Rolling Stones,Beat Buddy: PolkaBeat Buddy Mini: PolkaBeat Buddy Mini 2: Polka,79,Default Library,Rock
Old Time Rock and Roll,Bob Seger,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,124,Default Library,Rock
Peaceful Easy Feeling,The Eagles,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,140,Default Library,Rock
Picture,Kid Rock & Sheryl Crow,Beat Buddy: Blues 2Beat Buddy Mini 2: Blues 2,98,Default Library,Rock
Pink Houses,John Mellencamp,Beat Buddy: Blues 2Beat Buddy Mini 2: Blues 2,118,Default Library,Rock
Please Forgive Me,David Gray,Beat Buddy: Blues 2Beat Buddy Mini 2: Blues 2,110,Default Library,Rock
Proud Mary,Creedence Clearwater Revival,Beat Buddy: Blues 2Beat Buddy Mini 2: Blues 2,124,Default Library,Rock
Pump it Up,Elvis Costello,Beat Buddy: Blues 2Beat Buddy Mini 2: Blues 2,125,Default Library,Rock
Purple Rain,Prince,Beat Buddy: Blues 2Beat Buddy Mini 2: Blues 2,61,Default Library,Rock
